code,name,预低
603357,设计总院,-0.3425848484
603909,建发合诚,-6.6242256165
002116,中国海诚,-1.7631014585
603458,勘设股份,-1.4333262444
600629,华建集团,-1.0024400949
603860,中公高科,-2.7837777138
603017,中衡设计,-0.8403377533
002883,中设股份,-1.7101670504
600720,中交设计,-0.8855695128
003013,地铁设计,-0.3418563902
000779,甘咨询,-1.6627811193
000032,深桑达Ａ,-1.465241313
600970,中材国际,-0.2968331277
603929,亚翔集成,-0.6829810143
600496,精工钢构,-0.6243748665
601133,柏诚股份,-0.9060232043
000065,北方国际,-1.936858058
002051,中工国际,-1.1756856441
605167,利柏特,-1.1877348423
000928,中钢国际,-1.2808940411
601226,华电重工,-0.2173110992
002135,东南网架,-0.4858770967
601117,中国化学,-1.7996916771
002140,东华科技,-0.7582373619
600477,杭萧钢构,-1.0243394375
603637,镇海股份,-0.9229198098
002743,富煌钢构,-0.4781820476
002593,日上集团,-0.7333402634
601618,中国中冶,-1.7661783695
601068,中铝国际,-1.8520176411
603163,圣晖集成,-1.2622271776
605598,上海港湾,-0.8771921992
603098,森特股份,-1.1498763561
003001,中岩大地,-2.6418747902
002323,雅博股份,-0.6241614819
002542,中化岩土,5.5132656097
002541,鸿路钢构,-0.9741829634
000628,高新发展,-1.0794272423
601668,中国建筑,-2.1672465801
600248,陕建股份,-1.6301482916
600491,龙元建设,-1.2674601078
600170,上海建工,-0.5980816483
600939,重庆建工,-6.1911120415
601789,宁波建工,-0.6831002235
002761,浙江建投,-1.0644924641
600820,隧道股份,-0.4430634081
002062,宏润建设,-0.3214704692
600512,腾达建设,-0.4620187283
600284,浦东建设,-0.2477226257
601611,中国核建,-1.4556701183
600502,安徽建工,-0.7335447073
601186,中国铁建,-2.6806149483
002061,浙江交科,-1.0295655727
601868,中国能建,-0.4611438215
601390,中国中铁,-1.6334930658
603176,汇通集团,-2.2642893791
002941,新疆交建,-1.996842742
603815,交建股份,-3.240418911
002307,北新路桥,-2.0498013496
002060,广东建工,-1.0640618801
600039,四川路桥,-1.9326649904
600853,龙建股份,-0.1203378439
002628,成都路桥,5.7553467751
601669,中国电建,-1.186166048
601800,中国交建,-2.6855149269
000498,山东路桥,-1.9716145992
600133,东湖高新,-2.4812846184
603843,正平股份,-0.9402108192
000159,国际实业,-1.926219821
002347,泰尔股份,-1.5084965229
000595,宝塔实业,-3.0453338623
603699,纽威股份,-0.5583511591
600114,东睦股份,-2.5542640686
603969,银龙股份,-1.4813547134
603667,五洲新春,-0.7425428033
002438,江苏神通,-0.8764489293
000039,中集集团,-1.0843439102
002445,中南文化,-1.2045445442
601177,杭齿前进,-1.2182837725
002843,泰嘉股份,-3.8631310463
601002,晋亿实业,-0.6629149914
603270,金帝股份,-0.2769832611
002342,巨力索具,-0.5144481659
600592,龙溪股份,-0.9983529449
600558,大西洋,-1.7839791775
002871,伟隆股份,-0.2914178073
002026,山东威达,-0.6539623141
000777,中核科技,-0.9062533379
002795,永和智控,-1.7785179615
002877,智能自控,-0.7672937512
002896,中大力德,-0.5218349099
603915,国茂股份,-0.5638795495
603308,应流股份,-0.4090280235
605100,华丰股份,-0.6721896529
600992,贵绳股份,-1.0095630884
002150,通润装备,-0.8899237514
002132,恒星科技,-1.3926469088
002164,宁波东力,-0.2991663218
600860,京城股份,-0.6177989841
002514,宝馨科技,-0.2045960724
002931,锋龙股份,-1.233992219
603278,大业股份,-1.0932440758
603028,赛福天,-0.2831084132
002633,申科股份,-0.9355896115
600421,华嵘控股,-1.9836022854
600243,青海华鼎,-3.5679187775
001696,宗申动力,6.1437206268
603757,大元泵业,-0.9057326913
002884,凌霄泵业,-0.8650392294
002444,巨星科技,-1.0616291761
603201,常润股份,-1.227533102
002598,山东章鼓,0.0187758505
603331,百达精工,-1.2594190836
603131,上海沪工,-2.0220692158
002530,金财互联,-0.3410324156
600343,航天动力,-1.4884004593
603269,海鸥股份,-0.7527523041
605060,联德股份,-0.3737421036
603617,君禾股份,-0.4854695499
002272,川润股份,8.630610466
603090,宏盛股份,-0.6342256069
603662,柯力传感,-1.6447893381
002819,东方中科,-1.1625795364
002767,先锋电子,-0.5343128443
603100,川仪股份,-1.3343143463
002058,威尔泰,-1.4335459471
002175,东方智造,-1.0178329945
002849,威星智能,-3.0853977203
603700,宁水集团,-0.7870272994
605056,咸亨国际,-2.6618089676
002685,华东重机,5.8438725471
002760,凤形股份,-0.9992135763
002046,国机精工,-0.9044010639
600172,黄河旋风,-0.8113174438
002282,博深股份,-0.8605163097
000410,沈阳机床,1.3550140858
000837,秦川机床,-0.182138592
002943,宇晶股份,-0.8731218576
003025,思进智能,-1.7616666555
002903,宇环数控,-0.3341718316
002248,华东数控,-0.1364236176
002559,亚威股份,-0.6376925707
603088,宁波精达,-0.943205595
601882,海天精工,-0.0803892016
002122,汇洲智能,-0.7550287247
002520,日发精机,-0.9078387022
002158,汉钟精机,-0.9217034578
000811,冰轮环境,-0.534734726
603339,四方科技,-1.4830898046
603277,银都股份,-0.9117618799
603912,佳力图,-0.8874580264
600202,哈空调,-1.7077440023
002639,雪人股份,-0.8476806879
000530,冰山冷热,-0.4842813313
603187,海容冷链,-0.7409334183
002686,亿利达,-1.0643063784
601369,陕鼓动力,-1.3986827135
603611,诺力股份,-0.8738358021
002131,利欧股份,-0.3098466098
000816,智慧农业,-1.3705666065
000528,柳    工,-0.5339653492
000425,徐工机械,-0.7936819196
605305,中际联合,-0.9179238081
600031,三一重工,-0.9273308516
000680,山推股份,-0.8646758795
603338,浙江鼎力,-0.8623610735
605389,长龄液压,-0.9703947306
603280,南方路机,-1.1281212568
603638,艾迪精密,-0.7006630301
002097,山河智能,0.4642060995
001226,拓山重工,-0.5922609568
000157,中联重科,-0.8321701288
600815,厦工股份,-0.61330235
601100,恒立液压,-0.9987384081
600984,建设机械,-1.2448498011
600761,安徽合力,-1.4533022642
603298,杭叉集团,-2.4946198463
600560,金自天正,-0.948558867
601106,中国一重,-1.3951318264
603036,如通股份,-0.6916871071
001332,锡装股份,-1.3601405621
000852,石化机械,-0.7800755501
600169,太原重工,-1.2289330959
002204,大连重工,-1.2142211199
600980,北矿科技,-1.3685483932
600320,振华重工,-1.4448170662
002483,润邦股份,-0.9032400846
002353,杰瑞股份,-1.6317971945
603135,中重科技,-0.9077337384
601399,国机重装,-1.2682101727
002523,天桥起重,-1.0761246681
600262,北方股份,-1.049767971
603012,创力集团,-1.5589350462
002730,电光科技,-1.0061681271
001360,南矿集团,-2.094625473
002535,林州重机,-0.8103306293
601608,中信重工,-1.0097113848
601798,蓝科高新,-0.7549546957
600582,天地科技,-1.0521199703
001225,和泰机电,-1.273537755
603169,兰石重装,-1.9529876709
002278,神开股份,-0.4441076219
601717,郑煤机,-1.287134409
603966,法兰泰克,-1.2426058054
001288,运机集团,-2.1042280197
603698,航天工程,-1.0226243734
002526,山东矿机,-1.2036436796
603173,福斯达,-0.8462927341
603800,洪田股份,-0.8842777014
002691,冀凯股份,-0.91956532
002816,和科达,-1.3963513374
002786,银宝山新,-1.4174940586
600520,文一科技,
002595,豪迈科技,-1.3097097874
002779,中坚科技,-2.2169268131
002837,英维克,-1.0749819279
605259,绿田机械,-0.2534227669
002690,美亚光电,-1.1592508554
600579,克劳斯,-0.5877197385
002009,天奇股份,-1.3467675447
002006,精工科技,-1.4230260849
600444,国机通用,-1.9352431297
002757,南兴股份,-1.2139143944
002337,赛象科技,-0.7496820688
603656,泰禾智能,8.1483879089
603289,泰瑞机器,-0.7171092629
002031,巨轮智能,-2.6363997459
000856,冀东装备,-1.2648899555
603895,天永智能,-1.5695185661
600499,科达制造,-1.0714181662
603011,合锻智能,-3.1767363548
603159,上海亚虹,-1.2215673923
002073,软控股份,-0.3250573277
603956,威派格,-1.0972784758
603081,大丰实业,-1.8434668779
603855,华荣股份,-0.9140039682
002833,弘亚数控,-1.2241647243
600501,航天晨光,-0.9148118496
002529,海源复材,-0.9365895391
603076,乐惠国际,-0.8375918269
603488,展鹏科技,-0.650265336
605286,同力日升,-0.9897366166
603321,梅轮电梯,-0.3668982983
603356,华菱精工,-3.2102379799
600835,上海机电,-1.1171697378
002367,康力电梯,-0.6684826612
002774,快意电梯,-0.3390720785
002960,青鸟消防,-0.4607587159
600894,广日股份,-0.925912261
002689,远大智能,-0.8359832764
002722,物产金轮,-1.7258788347
603337,杰克股份,-1.2237302065
600232,金鹰股份,-0.7275197506
603095,越剑智能,-0.7125174403
002021,中捷资源,-0.5534533262
600545,卓郎智能,-1.3388137817
003036,泰坦股份,-0.9675188065
600302,标准股份,-0.4590332508
600843,上工申贝,2.2619447708
002890,弘宇股份,-1.2311462164
601038,一拖股份,-0.7747459412
603029,天鹅股份,-1.5339311361
603789,星光农机,-0.4624419808
001256,炜冈科技,-0.5201069713
002209,达 意 隆,-0.6540772319
603901,永创智能,-0.5100067854
002611,东方精工,-0.6206681132
002134,天津普林,-4.0272507668
600460,士兰微,-3.351829052
600171,上海贝岭,6.7218556404
603160,汇顶科技,-3.7683944702
603893,瑞芯微,-3.6278457642
603290,斯达半导,-2.2796292305
003026,中晶科技,-4.0371751785
002049,紫光国微,-2.6392154694
002185,华天科技,-2.0562663078
600584,长电科技,-2.6704921722
605358,立昂微,-1.9154049158
603920,世运电路,-1.6270343065
603005,晶方科技,-2.1617679596
603068,博通集成,-1.780575037
002119,康强电子,-3.1036367416
600877,电科芯片,-3.1776790619
002371,北方华创,-2.3835921288
002077,大港股份,-2.8123168945
603186,华正新材,-2.9565701485
003043,华亚智能,-2.4586286545
605111,新洁能,-2.2773826122
603690,至纯科技,-3.6909923553
002079,苏州固锝,-3.3715696335
603501,韦尔股份,-1.7695994377
600206,有研新材,-2.2364587784
002156,通富微电,-2.1904644966
600563,法拉电子,-2.2112998962
603986,兆易创新,-2.963488102
600745,闻泰科技,-2.5270075798
002916,深南电路,-2.0398521423
002409,雅克科技,-2.6017885208
600601,方正科技,-1.7344692945
603328,依顿电子,-1.8420518637
002484,江海股份,-1.8583282232
002463,沪电股份,-1.8399579525
603738,泰晶科技,-1.7704318762
002138,顺络电子,-1.8422646523
002636,金安国纪,-1.5910261869
603061,金海通,-4.2646098137
000636,风华高科,-1.7215628624
002938,鹏鼎控股,-1.9782594442
002436,兴森科技,-1.878531456
002815,崇达技术,-1.8090045452
002552,宝鼎科技,-1.4046549797
000823,超声电子,-1.7653012276
002913,奥士康,-1.7593616247
002579,中京电子,-2.3673701286
603936,博敏电子,-1.7331831455
603386,骏亚科技,-1.8077453375
600183,生益科技,-1.7749153376
603989,艾华集团,-1.8240619898
605058,澳弘电子,-1.7163777351
603228,景旺电子,-1.8501666784
002199,东晶电子,0.8600424528
600237,铜峰电子,-2.249352932
002384,东山精密,-2.5442905426
605258,协和电子,-1.8817090988
