code,name,流通市值,市盈率,昨收,昨高,昨低,涨停次数,连板次数,industry,industry_sub,可能退市,营业收入,净利润,融资融券,zhuan,债券代码
603819,神力股份,1981344702.0,-16.67,8.67,8.73,8.48,3.0,0.0,电机,电机,0,12.7173733929,165013478.59,0.0,,
603320,迪贝电气,1885417139.0,25.07,13.58,13.71,13.36,9.0,2.0,电机,电机,0,9.3002175791,41430435.37,0.0,1.0,113546.0
603988,中电电机,3290448000.0,-66.3,14.94,15.05,13.81,19.0,11.0,电机,电机,0,7.573821384,51584384.43,0.0,,
600312,平高电气,29038116013.0,27.21,19.86,20.18,19.21,3.0,0.0,电网设备,输变电设备,0,110.7700005298,920786650.59,1.0,,
002028,思源电气,45161595122.0,32.7,71.9,73.06,69.68,0.0,0.0,电网设备,输变电设备,0,124.6002839172,1608514159.51,0.0,,
603016,新宏泰,3406198400.0,45.25,28.2,32.0,27.56,12.0,3.0,电网设备,输变电设备,0,6.3247312761,74381483.11,0.0,,
600525,长园集团,6721814130.0,-71.78,4.96,5.03,4.9,3.0,0.0,电网设备,输变电设备,0,84.8627939679,1121360757.08,1.0,,
601567,三星医疗,49301625991.0,21.56,32.56,33.84,32.56,5.0,0.0,电网设备,输变电设备,0,114.6250835739,1920803938.46,1.0,,
600885,宏发股份,35367565375.0,20.94,31.29,31.88,30.67,3.0,1.0,电网设备,输变电设备,0,129.2977789997,1918411815.88,1.0,1.0,110082.0
601179,中国西电,42954894110.0,47.48,7.59,7.79,7.52,6.0,1.0,电网设备,输变电设备,0,210.514465972,1019962595.98,1.0,,
002452,长高电新,4359395476.0,21.58,7.43,7.62,7.38,2.0,0.0,电网设备,输变电设备,0,14.9338289755,170853026.63,0.0,,
002112,三变科技,2854051200.0,27.47,10.32,10.6,10.12,9.0,2.0,电网设备,输变电设备,0,17.2203387661,89389644.62,0.0,,
002350,北京科锐,2978777314.0,-128.9,5.35,5.44,5.31,7.0,1.0,电网设备,输变电设备,0,19.5300533389,15467652.02,0.0,,
600379,宝光股份,3318525718.0,36.13,9.55,9.63,9.42,5.0,0.0,电网设备,输变电设备,0,13.4941906239,72441940.23,1.0,,
603861,白云电器,3783109190.0,26.9,8.37,8.49,8.29,8.0,3.0,电网设备,输变电设备,0,43.3047616086,108429193.7,0.0,1.0,113549.0
600550,保变电气,18783590496.0,412.18,10.86,11.25,10.12,16.0,6.0,电网设备,输变电设备,0,34.6204419396,48045571.43,1.0,,
601877,正泰电器,48824575135.0,12.7,20.66,21.0,20.64,0.0,0.0,电网设备,输变电设备,0,572.5081431246,4948847757.37,1.0,,
002270,华明装备,13073849213.0,24.54,16.01,16.36,15.77,2.0,0.0,电网设备,输变电设备,0,19.6113595592,550658037.69,0.0,,
605066,天正电气,2959331106.0,20.11,5.59,5.64,5.48,3.0,0.0,电网设备,输变电设备,0,28.7893399087,161636492.76,0.0,,
002358,森源电气,3514429304.0,40.28,3.6,3.62,3.54,2.0,0.0,电网设备,输变电设备,0,26.3698166233,73871553.56,0.0,,
601616,广电电气,2723224268.0,45.53,3.16,3.18,3.1,1.0,0.0,电网设备,输变电设备,0,7.5682704389,85597013.04,0.0,,
002346,柘中股份,3419293440.0,-12.67,8.43,8.49,8.3,3.0,0.0,电网设备,输变电设备,0,11.2293794779,432221776.2,0.0,,
000533,顺钠股份,2527289856.0,41.12,3.6,3.61,3.49,1.0,0.0,电网设备,输变电设备,0,20.6692296626,89608167.39,0.0,,
600468,百利电气,5003582477.0,38.65,4.3,4.35,4.24,10.0,4.0,电网设备,输变电设备,0,20.3524672015,134702549.01,0.0,,
002441,众业达,2981125576.0,15.57,7.13,7.21,7.05,6.0,2.0,电网设备,输变电设备,0,119.1490126597,292710464.14,0.0,,
002927,泰永长征,2619027662.0,35.83,11.34,11.48,11.15,16.0,6.0,电网设备,输变电设备,0,10.3800723993,77145811.38,0.0,,
603829,洛凯股份,2372800000.0,20.05,16.48,16.68,16.25,12.0,5.0,电网设备,输变电设备,0,19.6428707153,164516733.11,0.0,,
603070,万控智造,1034864117.0,69.83,11.62,11.76,11.53,6.0,0.0,电网设备,输变电设备,0,22.9241482337,204951685.15,1.0,,
002706,良信股份,6568295393.0,17.1,6.83,6.94,6.68,4.0,0.0,电网设备,输变电设备,0,45.8505744611,510971393.22,0.0,,
002298,中电兴发,3111447380.0,-5.28,4.42,4.47,4.28,10.0,4.0,电网设备,输变电设备,1,22.3796212095,-616443494.12,0.0,,
600192,长城电工,2434031480.0,-15.03,6.01,6.31,5.8,11.0,4.0,电网设备,输变电设备,1,21.2057640546,-114715033.49,1.0,,
603097,江苏华辰,883600000.0,44.25,20.3,20.56,20.01,19.0,4.0,电网设备,输变电设备,0,15.101476933,121432761.17,0.0,,
601126,四方股份,16604972240.0,20.09,18.45,18.75,17.91,0.0,0.0,电网设备,电气自控设备,0,57.5105147634,627900057.43,1.0,,
000682,东方电子,16958522411.0,33.55,11.89,12.05,11.46,3.0,0.0,电网设备,电气自控设备,0,64.7807129363,605378563.93,0.0,,
600406,国电南瑞,223485727145.0,41.5,25.99,26.28,25.51,0.0,0.0,电网设备,电气自控设备,0,515.7330398939,7650035567.73,1.0,,
